db_image,db_pose_x,db_pose_y,q_image,q_pose_x,q_pose_y,dbNum,qNum,thres,sqthres
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106835306123587.png,987588.3944319494,1818163.291109105,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080504472862985.png,987489.3108152776,1818460.920683295,2000.0,300.0,6.0,36.0
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106855799658555.png,987587.5484984479,1818163.8614441506,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080226661976492.png,987715.0257928607,1819027.5614649933,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106856599195318.png,987586.7437017052,1818164.5213021708,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080343827038371.png,988118.4831649216,1818521.6078876592,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106857299257837.png,987586.0415183258,1818165.3198364787,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080176277924479.png,987767.9060555892,1818771.273823178,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106857798890467.png,987585.5265544755,1818166.1807725586,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080162982572092.png,987819.4334396926,1818672.875706831,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106858399038307.png,987585.1536838061,1818167.1790468888,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080034624385972.png,988428.0215651455,1818732.1661522915,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106859098612477.png,987584.9607843556,1818168.2338921966,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080284643371161.png,988000.0560704418,1818789.2717555047,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106859697837145.png,987584.9725082293,1818169.31348815,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080326929940893.png,988077.2495655213,1818608.85590918,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106860198030799.png,987585.1244769947,1818170.3477778283,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080393208798766.png,987820.7193424435,1818335.252524222,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106860597814962.png,987585.3798189149,1818171.325137501,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080133392013585.png,987944.9801474499,1818464.380292694,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106861097414211.png,987585.6874312595,1818172.3649356344,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080422300353146.png,987648.4157403201,1818202.4230975118,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106861497557368.png,987586.0526192897,1818173.364717711,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080319032398784.png,988043.0699857431,1818664.293292099,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106861798231095.png,987586.4356441628,1818174.3178988977,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080061215049359.png,988289.8777314519,1818756.2049120108,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106862198096785.png,987586.9165736703,1818175.367189949,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079526586281979.png,987462.9356689034,1818360.157814046,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106862498594020.png,987587.3789081438,1818176.3602867366,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079562475706576.png,987345.9514194203,1818581.1774150745,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106862797492728.png,987587.8074509607,1818177.2658910567,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079636952646747.png,987250.7136631857,1819038.6189669138,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106862997557110.png,987588.2535308623,1818178.2164569877,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079601961918850.png,987209.1418637004,1818853.3600221658,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106863197536487.png,987588.7188598455,1818179.2071957663,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079713326858359.png,987447.121908565,1819258.037183002,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106863497026803.png,987589.2050469673,1818180.245952841,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079595664373703.png,987226.5767925093,1818808.355106085,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106863796993462.png,987573.0798725934,1818174.4599651077,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079800998312976.png,987941.5130664182,1819369.2108115694,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106863997138634.png,987572.3588152786,1818175.4474919327,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080086906957459.png,988258.2522882014,1818614.9975887246,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106864200445012.png,987571.7635067259,1818176.2687045948,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080547362751251.png,987666.3644006898,1818329.5147520865,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106864396779807.png,987571.1463756984,1818177.1092570229,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080285643278667.png,988005.7038645654,1818786.3964309252,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106864596805090.png,987570.5138815091,1818177.9766105385,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079516589607115.png,987494.9237686183,1818299.8195526572,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106864796638279.png,987569.8785924506,1818178.8598411353,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079618256980544.png,987205.6440400592,1818960.786809573,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106864996647225.png,987569.2338646181,1818179.7572390914,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080367017439554.png,987959.5156491454,1818461.6223751586,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106865196696548.png,987568.5784064265,1818180.670236064,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080205268609019.png,987619.826617869,1818950.0861461232,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106865396357260.png,987567.9273319641,1818181.598326642,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080196371493903.png,987667.4072524485,1818903.4815462788,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106865596465014.png,987567.2742062944,1818182.5441079268,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080288542144924.png,988023.5612007632,1818781.5614986685,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106865796643849.png,987566.6105317206,1818183.501286224,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630079852282774249.png,988037.4621458162,1819181.6953861355,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106865996590195.png,987565.9455814866,1818184.4677350947,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080271147546555.png,987942.9456833489,1818871.5176445185,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106866196341101.png,987565.2731307279,1818185.4399317438,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080284343829887.png,987998.1912077148,1818790.5739631983,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106866396123511.png,987564.5907254275,1818186.4244574087,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080572751080802.png,987617.02418423,1818181.859392813,,,,
/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/morning/image/stereo_left_color/1630106866596213057.png,987563.9165413799,1818187.428146447,/home/ma/git/learning/netvlad_templated/data/Sthereo/KAIST/evening/image/stereo_left_color/1630080241758748231.png,987798.9192401811,1819007.0688146218,,,,
